Source Name,Category,Feed URL
BBC Sport (Global),Global News,https://feeds.bbci.co.uk/sport/football/rss.xml
BBC Sport (PL),Premier League,https://feeds.bbci.co.uk/sport/football/premier-league/rss.xml
Sky Sports,Global News,https://www.skysports.com/rss/11095
Sky Sports Transfer,Transfers,https://www.skysports.com/rss/11096
ESPN Soccer,Global News,https://www.espn.com/espn/rss/soccer/news
Reuters (Proxy),Wire Service,https://news.google.com/rss/search?q=site:reuters.com+soccer
Arseblog,Arsenal,https://arseblog.com/feed
Empire of the Kop,Liverpool,https://www.empireofthekop.com/feed
The Busby Babe,Man Utd,https://thebusbybabe.sbnation.com/rss/current.xml
We Ain't Got No History,Chelsea,https://weaintgotnohistory.sbnation.com/rss/current.xml
Cartilage Free Captain,Spurs,https://cartilagefreecaptain.sbnation.com/rss/current.xml
Bitter and Blue,Man City,https://bitterandblue.sbnation.com/rss/current.xml
Football365,Opinion,https://www.football365.com/feed
CaughtOffside,Rumors,https://caughtoffside.com/feed
Get German Football News,Bundesliga,https://getfootballnewsgermany.com/feed
Football Italia,Serie A,https://football-italia.net/feed
Get French Football News,Ligue 1,https://www.getfootballnewsfrance.com/feed
The Guardian,Features,https://www.theguardian.com/football/rss
The Athletic,Features,https://theathletic.com/feed
